clave_casilla,clave_acta,id_estado,estado,id_distrito_federal,distrito_federal,seccion,id_casilla,tipo_casilla,ext_contigua,ubicacion_casilla,tipo_acta,total_boletas_sobrantes,total_personas_votaron,total_rep_partido_ci_votaron,total_votos_sacados,codigos_entregados_pmdc,codigos_sobrantes,codigos_utilizados,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fxm,cand_ind_1,cand_ind_2,cand_ind_3,pan_pri_prd,pan_pri,pan_prd,pri_prd,pvem_pt_morena,pvem_pt,pvem_morena,pt_morena,no_registrados,nulos,total_votos_asentado,total_votos_calculados,lista_nominal,representantes_pp_ci,observaciones,contabilizada,mecanismos_traslado,sha,fecha_hora_acopio,fecha_hora_captura,fecha_hora_verificacion,origen,digitalizacion,tipo_documento,cotejada
'010350C0300','010350C03002',1,AGUASCALIENTES,1,Jesús María,350,3,C,0,No Urbana,Diputados MR,332,380,1,381,NO APLICA,NO APLICA,NO APLICA,111,17,4,8,9,4,205,8,1,7,-,-,-,Sin dato,Sin dato,Sin dato,Sin dato,-,-,-,-,Sin dato,7,381,381,669,44,['Sin dato'],1,D,357b656f1216f3f643d6d1b33a24c6d9c067ed326a2291e681de3d922bcd907c,07/06/2021 02:53:00,07/06/2021 03:05:28,07/06/2021 03:06:36,CATD,Escáner,Acta PREP,1
'010351B0100','010351B01002',1,AGUASCALIENTES,1,Jesús María,351,1,B,0,No Urbana,Diputados MR,199,344,2,346,NO APLICA,NO APLICA,NO APLICA,80,6,36,6,9,1,188,2,1,5,-,-,-,0,0,1,0,-,-,-,-,1,10,346,346,501,44,NA,1,D,46ec13a6b90f8ba6414dda73bb89b547bc136ccc299dd1f9fcf7393d4e2c39aa,07/06/2021 02:50:00,07/06/2021 02:54:43,07/06/2021 02:55:13,CATD,Escáner,Acta PREP,1
'010351C0100','010351C01002',1,AGUASCALIENTES,1,Jesús María,351,1,C,0,No Urbana,Diputados MR,179,366,0,365,NO APLICA,NO APLICA,NO APLICA,86,8,31,4,12,3,199,5,4,3,-,-,-,0,0,4,0,-,-,-,-,0,6,365,365,501,44,NA,1,D,7510c573a775a3c0adcd2b91313d93ed944f2a7d9a6756a257442ca5ae01c2b9,07/06/2021 02:48:00,07/06/2021 02:53:52,07/06/2021 02:54:27,CATD,Escáner,Acta PREP,1
'010351C0200','010351C02002',1,AGUASCALIENTES,1,Jesús María,351,2,C,0,No Urbana,Diputados MR,Sin dato,Sin dato,Sin dato,338,NO APLICA,NO APLICA,NO APLICA,74,13,48,1,9,2,166,6,Ilegible,2,-,-,-,Sin dato,Sin dato,Sin dato,Sin dato,-,-,-,-,Sin dato,15,338,336,500,44,"['Ilegible', 'Sin dato']",1,D,5ed0f034e81b812bc41602a151c1c4a22cb3819a80dbc5bfad30cfba627f0ab0,07/06/2021 02:48:00,07/06/2021 02:54:19,07/06/2021 02:54:32,CATD,Escáner,Acta PREP,1
'010352B0100','010352B01002',1,AGUASCALIENTES,1,Jesús María,352,1,B,0,No Urbana,Diputados MR,Ilegible,Ilegible,Ilegible,Sin dato,NO APLICA,NO APLICA,NO APLICA,128,24,10,5,15,1,15,6,0,1,-,-,-,Sin dato,Sin dato,Sin dato,Sin dato,-,-,-,-,0,7,18,212,617,44,['Sin dato'],1,D,eac3bd8a9026232a842df208c9eb38b62cef21780b3fc4186f339d0925e33cd5,07/06/2021 02:49:00,07/06/2021 02:55:59,07/06/2021 02:56:30,CATD,Escáner,Acta PREP,1
'010352C0100','010352C01002',1,AGUASCALIENTES,1,Jesús María,352,1,C,0,No Urbana,Diputados MR,304,358,0,358,NO APLICA,NO APLICA,NO APLICA,105,11,1,3,15,3,200,2,5,4,-,-,-,0,0,0,0,-,-,-,-,0,0,358,349,617,44,['Identificación por proceso técnico operativo'],1,D,b918d939df22d8908913d33d31da29e176231c86150e247e3eaafa9384477b46,07/06/2021 08:06:00,07/06/2021 08:14:07,07/06/2021 08:14:59,CATD,Escáner,Acta PREP,1
'010352C0200','010352C02002',1,AGUASCALIENTES,1,Jesús María,352,2,C,0,No Urbana,Diputados MR,Sin dato,Sin dato,Sin dato,376,NO APLICA,NO APLICA,NO APLICA,105,12,2,3,16,3,182,6,4,6,-,-,-,0,0,0,0,-,-,-,-,0,37,Ilegible,376,617,44,NA,1,D,629555fa9e493a2760634240422019314a944adfbe8a87a679bc59bd4a0d1d74,07/06/2021 02:50:00,07/06/2021 02:57:04,07/06/2021 03:02:02,CATD,Escáner,Acta PREP,1
'010352C0300','010352C03002',1,AGUASCALIENTES,1,Jesús María,352,3,C,0,No Urbana,Diputados MR,286,375,1,376,NO APLICA,NO APLICA,NO APLICA,93,22,6,4,15,4,206,6,3,7,-,-,-,1,0,0,0,-,-,-,-,0,9,376,376,617,44,NA,1,D,d3e8f0d33d7f01654916af4bb3b79561dc5a4d0eb353159d7df8f1e800304ebf,07/06/2021 02:47:00,07/06/2021 02:52:51,07/06/2021 02:53:55,CATD,Escáner,Acta PREP,1
'010353B0100','010353B01002',1,AGUASCALIENTES,1,Jesús María,353,1,B,0,No Urbana,Diputados MR,197,390,0,391,NO APLICA,NO APLICA,NO APLICA,64,15,4,2,5,4,272,4,4,6,-,-,-,0,1,0,0,-,-,-,-,0,10,391,391,544,44,NA,1,D,659bf7104b7a3ae9b92e9c2395441e232cc9d54c0f2651ed3ebac1a4c68e47cb,07/06/2021 02:49:00,07/06/2021 02:53:59,07/06/2021 02:54:34,CATD,Escáner,Acta PREP,1
'010353C0100','010353C01002',1,AGUASCALIENTES,1,Jesús María,353,1,C,0,No Urbana,Diputados MR,194,387,6,393,NO APLICA,NO APLICA,NO APLICA,68,12,5,2,7,5,264,3,4,9,-,-,-,0,0,1,0,-,-,-,-,2,11,393,393,543,44,NA,1,D,ce7a7430b706d66fa4235a3e02c36cc556704ce05e54f8028cfb405f0bf1dafe,07/06/2021 02:50:00,07/06/2021 02:55:46,07/06/2021 02:56:41,CATD,Escáner,Acta PREP,1
