fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
01/01/2021,13:11:00,Regular,Domestico,Despegue,DOZ,EZE,AEROLINEAS ARGENTINAS SA,BO-737-800,62,DEFINITIVO
01/01/2021,13:14:00,Regular,Domestico,Aterrizaje,EZE,JUJ,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,33,DEFINITIVO
01/01/2021,13:16:00,Regular,Domestico,Despegue,EZE,CBA,AEROLINEAS ARGENTINAS SA,BO-B-737-81D,68,DEFINITIVO
01/01/2021,13:17:00,Regular,Domestico,Despegue,USU,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,71,DEFINITIVO
01/01/2021,13:20:00,Regular,Domestico,Despegue,BAR,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-81D,23,DEFINITIVO
01/01/2021,13:23:00,Regular,Domestico,Aterrizaje,EZE,ECA,AEROLINEAS ARGENTINAS SA,BO-B737-800,0,DEFINITIVO
01/01/2021,13:28:00,Regular,Internacional,Aterrizaje,EZE,SCEL,LAN AIRLINES S.A.,0,98,DEFINITIVO
01/01/2021,13:33:00,Regular,Domestico,Despegue,EZE,TRE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,39,DEFINITIVO
01/01/2021,13:37:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,CBA,CQZ,0,PAA-PA-A-28-161,1,DEFINITIVO
01/01/2021,13:39:00,Regular,Domestico,Despegue,USU,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8SH,68,DEFINITIVO
01/01/2021,13:44:00,Regular,Domestico,Despegue,TUC,MDP,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,42,DEFINITIVO
01/01/2021,13:49:00,No Regular,Internacional,Aterrizaje,EZE,KMIA,LAN AIRLINES S.A.,0,0,DEFINITIVO
01/01/2021,13:54:00,Regular,Domestico,Despegue,CRV,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8BK,57,DEFINITIVO
01/01/2021,13:57:00,Regular,Domestico,Despegue,CBA,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-8LP,55,DEFINITIVO
01/01/2021,14:01:00,Regular,Domestico,Despegue,MDP,CBA,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,22,DEFINITIVO
01/01/2021,14:12:00,Regular,Domestico,Aterrizaje,BAR,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,45,DEFINITIVO
01/01/2021,14:15:00,Regular,Domestico,Aterrizaje,EZE,BAR,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,40,DEFINITIVO
01/01/2021,14:18:00,Regular,Domestico,Despegue,EZE,USU,AEROLINEAS ARGENTINAS SA,AIB-A-330-223,43,DEFINITIVO
01/01/2021,14:19:00,Regular,Domestico,Aterrizaje,CBA,EZE,AEROLINEAS ARGENTINAS SA,BO-B-737-81D,2,DEFINITIVO
01/01/2021,14:20:00,Regular,Domestico,Aterrizaje,EZE,SAL,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,38,DEFINITIVO
01/01/2021,14:23:00,Regular,Domestico,Despegue,EZE,BAR,AEROLINEAS ARGENTINAS SA,BO-737-8SH,39,DEFINITIVO
01/01/2021,14:26:00,Regular,Domestico,Aterrizaje,EZE,DOZ,AEROLINEAS ARGENTINAS SA,BO-737-800,45,DEFINITIVO
01/01/2021,14:33:00,Regular,Internacional,Aterrizaje,EZE,SCEL,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,46,DEFINITIVO
01/01/2021,14:46:00,Trabajo Aéreo,Domestico,Aterrizaje,DIA,CHJ,0,CE-A-188-B,0,DEFINITIVO
01/01/2021,14:47:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,CBA,RLA,0,BE-200,2,DEFINITIVO
01/01/2021,14:48:00,Regular,Domestico,Aterrizaje,ECA,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8HX,64,DEFINITIVO
01/01/2021,14:49:00,Regular,Internacional,Despegue,EZE,SCEL,LAN AIRLINES S.A.,0,127,DEFINITIVO
01/01/2021,14:54:00,Regular,Domestico,Aterrizaje,EZE,CBA,AEROLINEAS ARGENTINAS SA,BO-B737-8LP,75,DEFINITIVO
01/01/2021,14:55:00,Regular,Domestico,Despegue,EZE,VIE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,31,DEFINITIVO
01/01/2021,14:58:00,Regular,Domestico,Aterrizaje,EZE,BAR,AEROLINEAS ARGENTINAS SA,BO-B737-81D,29,DEFINITIVO
01/01/2021,15:01:00,Regular,Domestico,Despegue,EZE,SIS,AEROLINEAS ARGENTINAS SA,BO-B737-800,23,DEFINITIVO
01/01/2021,15:04:00,No Regular,Internacional,Despegue,EZE,SCEL,LAN AIRLINES S.A.,0,0,DEFINITIVO
01/01/2021,15:10:00,Regular,Internacional,Despegue,EZE,EHAM,KLM ROYAL DOUTCH AIRLINES,0,0,DEFINITIVO
01/01/2021,15:21:00,Regular,Domestico,Aterrizaje,TRE,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,39,DEFINITIVO
01/01/2021,15:24:00,Regular,Domestico,Despegue,EZE,JUA,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,45,DEFINITIVO
01/01/2021,15:28:00,Regular,Domestico,Despegue,BAR,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,5,DEFINITIVO
01/01/2021,15:31:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,CHP,0,GU-GV,0,DEFINITIVO
01/01/2021,15:34:00,Regular,Domestico,Aterrizaje,MDP,TUC,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,42,DEFINITIVO
01/01/2021,15:35:00,Regular,Domestico,Despegue,EZE,ROS,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,7,DEFINITIVO
01/01/2021,15:37:00,Regular,Domestico,Aterrizaje,CBA,MDP,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,22,DEFINITIVO
01/01/2021,15:40:00,Regular,Domestico,Aterrizaje,EZE,CRV,AEROLINEAS ARGENTINAS SA,BO-737-8BK,44,DEFINITIVO
01/01/2021,15:40:00,Vuelo Privado con Matrícula Nacional,Internacional,Aterrizaje,FDO,2522,0,BE-G36,0,DEFINITIVO
01/01/2021,15:40:00,Regular,Domestico,Despegue,EZE,NEU,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,68,DEFINITIVO
01/01/2021,15:45:00,Regular,Domestico,Despegue,ECA,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8HX,16,DEFINITIVO
01/01/2021,15:46:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,MGI,0,BE-300-LW,0,DEFINITIVO
01/01/2021,15:50:00,Regular,Internacional,Aterrizaje,EZE,SLVR,BOLIVIANA DE AVIACION,0,58,DEFINITIVO
01/01/2021,15:51:00,Regular,Domestico,Despegue,CBA,EZE,AEROLINEAS ARGENTINAS SA,BO-B-737-81D,58,DEFINITIVO
01/01/2021,15:55:00,No Regular,Domestico,Aterrizaje,BAR,LNH,0,CE-337-F,0,DEFINITIVO
01/01/2021,15:59:00,Regular,Domestico,Aterrizaje,EZE,USU,AEROLINEAS ARGENTINAS SA,BO-B-737-81D,28,DEFINITIVO
01/01/2021,16:04:00,Regular,Domestico,Despegue,TRE,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,18,DEFINITIVO
