entidad,num_dtto,nom_dtto,cargo,fuerza_politica,siglas,nombre_completo,total_gastos
MEXICO,Distrito 1,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,DIPUTACION FEDERAL MR,FUERZA POR MÉXICO,FS X MÉXICO,ANA GRICELDA RAMIREZ LOPEZ,228238.35
BAJA CALIFORNIA,Distrito 2,MEXICALI,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,ROSA MARIA ACUÑA ARVIZU,140538.53
SINALOA,Distrito 5,CULIACAN DE ROSALES,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MARIO LUIS TOSTADO LARA,83198.28
TAMAULIPAS,Distrito 8,TAMPICO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,ALFONSO MENDEZ CISNEROS,109947.81
PUEBLA,Distrito 4,AJALPAN,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,INES PARRA JUAREZ,723700.86
VERACRUZ,Distrito 13,HUATUSCO,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,SANTIAGO GREGORIO MORALES RENDON,910656.61
PUEBLA,Distrito 6,HEROICA PUEBLA DE ZARAGOZA,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,ALEJANDRO CARVAJAL HIDALGO,804331.76
SINALOA,Distrito 6,MAZATLAN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,GERMAN ESCOBAR MANJARREZ,881412.33
MEXICO,Distrito 14,CIUDAD ADOLFO LOPEZ MATEOS,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,RAFAEL MARTINEZ MARTINEZ,82717.66
PUEBLA,Distrito 7,TEPEACA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JESUS ROBERTO MORALES RODRIGUEZ,1123427.54
PUEBLA,Distrito 11,HEROICA PUEBLA DE ZARAGOZA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,CAROLINA BEAUREGARD MARTINEZ,1214574.38
PUEBLA,Distrito 3,TEZIUTLAN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,SANDRA RUBI MONTALVO DOMINGUEZ,1131708.4
OAXACA,Distrito 4,TLACOLULA DE MATAMOROS,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,VITALICO CANDIDO COHETO MARTINEZ,910721.22
SAN LUIS POTOSI,Distrito 5,SAN LUIS POTOSI,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JOSE ANTONIO ZAPATA MERAZ,1138888.5
TLAXCALA,Distrito 2,TLAXCALA DE XICOHTENCATL,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,LAZARO SALVADOR MENDEZ ACAMETITLA,1077468
MEXICO,Distrito 8,TULTITLAN DE MARIANO ESCOBEDO,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,MARIA SILVIA LUNA JIMENEZ,82717.66
SINALOA,Distrito 7,CULIACAN DE ROSALES,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,MERARY VILLEGAS SANCHEZ,963386.19
JALISCO,Distrito 15,LA BARCA,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,JUAN BARAJAS GODINEZ,877559.8
CIUDAD DE MEXICO,Distrito 20,IZTAPALAPA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,ROSARIO ROCIO OLMOS LOPEZ,97427.98
MEXICO,Distrito 40,SAN MIGUEL ZINACANTEPEC,DIPUTACION FEDERAL MR,FUERZA POR MÉXICO,FS X MÉXICO,ABIGAIL BERNAL ESQUIVEL,228238.35
