folio,punto,edo,mun,secc,latitude,longitude,tipo_secc,df,fecha,int,p05,p06,p07,p08,p09a,p10a,p09b,p10b,p09c,p10c,p09d,p10d,p11,p12,p13,p14,p15,p16,bol1,bol2,bol3,bol1_rec,bol2_rec,bol3_rec,edadrec,nse_1,nse_2,nse_3,nse_4,nse_5,nse_6,nse_suma,nse,pond
356,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,71,1,1,21,2,1,2,1,4,1,3,2,NA,1,1,1,5,8,1,3,6,5,1,1,2,1,23,24,18,0,31,6,102,5,0.6227125770474086
357,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,9,1,1,18,2,1,2,1,2,2,NA,2,NA,1,1,1,5,8,1,1,1,1,1,1,1,1,22,47,0,0,0,6,75,6,0.7448679611555337
358,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,12,1,1,32,2,1,99,1,2,2,NA,2,NA,98,98,99,5,8,7,NA,NA,NA,NA,NA,NA,2,31,47,18,31,46,23,196,2,0.9423840890321612
359,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,9,1,1,21,2,1,2,1,3,1,2,1,2,1,1,1,10,5,1,1,6,3,1,1,1,1,23,47,18,31,31,17,167,3,0.7448679611555337
360,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,14,1,1,27,1,1,2,1,4,2,NA,2,NA,1,1,1,7,4,1,1,1,1,1,1,1,2,10,24,18,31,61,17,161,3,1.432558524404661
361,37,JALISCO,CIHUATLAN,317,NA,NA,1,18,2018-06-25,6,1,1,25,1,1,2,1,2,1,2,1,2,2,2,2,10,2,1,8,2,8,3,2,3,1,59,24,0,31,15,12,141,3,0.8077322715094035
362,37,JALISCO,CIHUATLAN,317,NA,NA,1,18,2018-06-25,4,1,1,35,2,1,1,1,2,1,2,1,2,2,2,1,11,12,1,1,2,2,1,2,2,2,101,24,18,31,46,17,237,1,1.4984666902354353
363,37,JALISCO,CIHUATLAN,317,NA,NA,1,18,2018-06-25,2,1,1,34,2,1,2,1,2,1,2,2,NA,2,1,1,3,8,1,1,NA,1,1,NA,1,2,31,47,18,0,61,23,180,2,1.4984666902354353
364,37,JALISCO,CIHUATLAN,317,NA,NA,1,18,2018-06-25,14,1,1,28,1,1,2,1,2,1,3,1,2,1,2,2,3,11,1,8,8,8,3,3,3,2,22,24,18,31,46,12,153,3,1.3122093653565121
365,37,JALISCO,CIHUATLAN,317,NA,NA,1,18,2018-06-25,8,1,1,31,1,1,2,1,2,1,3,1,2,1,2,2,7,3,1,4,2,8,3,2,3,2,0,24,18,31,61,17,151,3,1.483039835688623
366,37,JALISCO,CIHUATLAN,317,19.873545,-103.544085,1,18,2018-06-25,3,1,1,26,1,1,2,1,3,1,2,1,3,2,1,1,7,11,1,1,5,5,1,2,2,2,43,24,37,31,0,12,147,3,1.7739626585986255
367,37,JALISCO,CIHUATLAN,317,19.873545,-103.544085,1,18,2018-06-25,3,1,1,25,2,1,2,1,2,1,1,1,1,2,2,2,7,8,7,11,7,9,5,2,3,1,31,24,0,31,15,6,107,5,0.7711160416157501
368,37,JALISCO,CIHUATLAN,317,19.873545,-103.544085,1,18,2018-06-25,3,1,1,18,1,1,3,1,2,1,2,2,NA,1,2,2,7,2,1,9,8,4,3,3,3,1,22,47,0,31,46,23,169,2,0.9128872014217401
369,37,JALISCO,CIHUATLAN,317,19.873545,-103.544085,1,18,2018-06-25,3,1,1,28,2,2,NA,1,2,2,NA,2,NA,98,98,1,5,8,1,2,8,2,2,3,2,2,31,24,0,0,15,6,76,6,1.4831071727017673
370,37,JALISCO,CIHUATLAN,317,19.873545,-103.544085,1,18,2018-06-25,1,1,1,32,1,2,NA,2,NA,2,NA,2,NA,1,1,2,3,11,1,1,1,1,1,1,1,2,0,24,37,31,31,23,146,3,1.7739626585986255
371,38,JALISCO,GUADALAJARA,743,NA,NA,1,11,2018-06-24,4,1,1,44,1,1,2,1,2,1,2,2,NA,2,2,2,5,1,1,2,2,2,2,2,2,3,10,24,0,0,61,6,101,5,0.9845101485312979
372,38,JALISCO,GUADALAJARA,743,NA,NA,1,11,2018-06-24,8,1,1,41,1,1,2,1,1,1,4,1,3,1,2,2,7,2,1,NA,10,8,NA,4,3,3,22,24,18,31,31,12,138,3,0.7746538926728587
373,38,JALISCO,GUADALAJARA,743,NA,NA,1,11,2018-06-24,5,1,1,58,1,1,2,1,2,1,3,1,3,1,1,2,3,4,1,1,6,6,1,1,1,5,22,24,0,31,31,23,131,4,1.3150130053874518
374,38,JALISCO,GUADALAJARA,743,NA,NA,1,11,2018-06-24,2,1,1,25,1,1,3,1,2,1,3,1,3,2,2,2,7,2,1,4,NA,NA,3,NA,NA,1,31,47,0,31,61,23,193,2,0.7475340482628875
375,38,JALISCO,GUADALAJARA,743,NA,NA,1,11,2018-06-24,6,1,1,25,1,1,2,1,1,1,3,1,2,1,2,2,9,2,1,8,10,8,3,4,3,1,43,47,37,31,46,23,227,1,0.6614260490163805
376,38,JALISCO,GUADALAJARA,743,20.67217,-103.312193333,1,11,2018-06-24,35,1,1,73,1,1,2,1,2,1,1,1,2,2,2,1,2,6,1,1,4,4,1,3,3,5,10,24,0,0,15,6,55,6,1.3150130053874518
377,38,JALISCO,GUADALAJARA,743,20.672086667,-103.311938333,1,11,2018-06-24,3,1,1,21,1,1,2,1,3,1,2,1,3,1,1,98,4,2,1,6,10,6,1,4,1,1,23,24,0,0,31,12,90,5,1.786106891038069
378,38,JALISCO,GUADALAJARA,743,20.672011667,-103.312403333,1,11,2018-06-24,4,1,1,70,2,1,2,1,2,2,NA,2,NA,1,1,2,7,12,1,1,NA,1,1,NA,1,5,43,24,0,0,0,17,84,5,1.1107918062695432
379,38,JALISCO,GUADALAJARA,743,20.671845,-103.312683333,1,11,2018-06-24,7,1,1,27,1,1,2,1,3,1,1,1,2,2,97,1,3,2,1,2,2,2,2,2,2,2,22,24,0,0,31,12,89,5,1.4377513227379253
380,38,JALISCO,GUADALAJARA,743,20.672206667,-103.313703333,1,11,2018-06-24,14,1,1,35,2,1,2,1,2,1,2,1,1,1,2,2,10,2,1,11,6,6,5,1,1,2,35,24,0,31,31,12,133,4,1.0258155930312316
